data:
x	y	Y	L	a	b	B	G	R
0.309482	0.326443	16.0233	16.4551	-0.15625	-0.796875	42	41	40	
0.314968	0.330816	23.5845	25.2991	0.265625	0.796875	59	60	61	
0.299599	0.322827	19.8933	21.0999	-2.125	-2.85938	55	52	45	
0.307698	0.329018	16.2204	16.7114	-1.26563	-0.4375	42	42	39	
0.301842	0.321344	21.2648	22.6685	-1.0625	-3.1875	59	55	50	
0.298725	0.328991	23.3129	25.0854	-4.82813	-1.625	62	62	50	
0.32542	0.333014	21.3949	22.8516	3.17188	2.57813	51	53	61	
0.297276	0.320148	18.3529	19.2871	-1.90625	-3.53125	52	48	41	
0.319544	0.326996	20.1365	21.3562	2.92188	0.34375	51	50	56	
0.30789	0.326486	16.3321	16.8335	-0.578125	-0.953125	43	42	40	
0.314863	0.338994	21.5691	22.998	-2.375	2.70313	51	56	53	
0.324182	0.334444	23.6362	25.3906	2.45313	2.96875	56	59	66	
0.29885	0.321731	16.8394	17.4927	-1.73438	-2.79688	47	44	38	
0.306186	0.333852	17.4822	18.2373	-3.04688	0.40625	44	46	40	
0.31755	0.326645	17.2246	17.926	2.09375	0.03125	44	43	47	
0.322855	0.337105	26.55	28.6438	1.125	3.79688	62	67	72	
0.310496	0.323271	21.3448	22.7295	1.17188	-1.70313	57	54	55	
0.296136	0.322513	18.9421	20.0134	-2.9375	-3.15625	53	50	41	
0.307196	0.329017	39.3328	42.3767	-3.03125	-1.04688	102	102	94	
0.305788	0.326305	30.5366	33.02	-1.92188	-2	81	79	73	
0.306024	0.32728	23.925	25.6897	-1.79688	-1.3125	63	62	57	
0.308427	0.32902	18.9655	19.9707	-1.25	-0.4375	49	49	46	
0.309311	0.329023	15.9116	16.3269	-0.84375	-0.296875	41	41	39	
0.307235	0.326142	14.3713	14.4775	-0.5625	-0.9375	38	37	35	
calibration:
x	y	Y	L	a	b	B	G	R
0.301709	0.316439	15.6739	16.0461	0.453125	-3.53125	44.9599	40.0482	38.0059	
0.320437	0.337838	23.934	25.708	-0.171875	3.39063	56.0401	60.9518	62.9941	
0.268593	0.285561	18.7621	20.0623	1.64063	-16.0156	71.7207	49.2407	35.0414	
0.294298	0.31465	16.1583	16.6687	-0.90625	-4.73438	47.8807	42.0721	36.0178	
0.276324	0.289099	19.8462	21.2097	2.45313	-14.875	72.8	51.2168	41.0296	
0.264848	0.291672	23.0647	25.3967	-1.875	-16.6406	85.5227	62.2884	38.071	
0.363118	0.375026	22.218	24.0295	4.09375	16.2031	33.3188	54.7594	70.9526	
0.261556	0.276166	16.893	17.9565	3	-17.9844	69.7204	44.2649	30.0415	
0.341784	0.348244	19.9319	21.2891	3.79688	7.78125	40.2384	48.8799	60.9645	
0.295891	0.312026	15.9619	16.4124	0.171875	-5.10938	47.9202	41.0722	37.0118	
0.315803	0.346223	23.1509	24.8596	-4.48438	4.70313	51.8821	60.9513	55.0177	
0.356279	0.371924	24.7673	27.0081	2.45313	16.3594	39.2793	61.7593	75.9586	
0.266362	0.282205	15.7289	16.4246	1.89063	-14.8906	61.7605	41.2167	29.0355	
0.287578	0.316355	18.0157	18.9514	-3.39063	-5.10938	53.7619	48.0959	36.0355	
0.333467	0.341236	16.9786	17.7185	2.71875	4.64063	37.1588	41.928	49.9763	
0.348403	0.369793	28.2974	30.8411	0.0625	16.5	47.2003	71.7591	81.9704	
-nan(ind)	-nan(ind)	0	0	0	0	0	0	0	
-nan(ind)	-nan(ind)	0	0	0	0	0	0	0	
0.292541	0.313279	39.1673	42.4438	-2.32813	-10.6875	117.682	102.192	86.0474	
0.288517	0.30607	29.7549	32.428	-0.28125	-11.8125	94.7608	77.1925	65.0355	
0.28903	0.307947	23.4928	25.2869	-0.5	-9.21875	73.8008	61.1443	51.0296	
0.296874	0.31666	18.9034	19.9219	-0.9375	-4.64063	54.8807	49.0721	43.0178	
0.300041	0.319131	15.8703	16.2964	-0.640625	-3.17188	44.9204	41.0481	37.0118	
0.293671	0.309784	14.0011	14.0259	0.21875	-5.20313	42.9202	36.0722	32.0118	
colorchecker:
x	y	Y	L	a	b	B	G	R
0.396712	0.35987	10.0975	9.8999	10.2031	8.73438	14.7404	21.5159	43.7175	
0.379548	0.356187	34.8957	39.6912	22.9844	23.2344	56.9231	77.7718	137.567	
0.252432	0.264567	18.9491	20.7581	5.40625	-24.2813	85.9767	49.6275	31.1454	
0.33496	0.427609	13.1565	13.2446	-11.4219	13.2031	14.3128	38.2397	24.3034	
0.2702	0.251779	23.5987	26.2817	18.3906	-32.5469	112.113	55.0444	59.8104	
0.263645	0.358215	42.1787	48.4375	-34.0938	7.0625	102.504	129.765	34.5865	
0.500465	0.412776	29.4036	39.9963	46.6719	49.875	6.42265	53.2024	171.473	
0.219342	0.18801	11.9398	14.3066	24.6719	-42.3594	97.2381	26.6772	20.4561	
0.45324	0.317626	19.5536	29.6021	45.4063	26.4844	31.8168	26.0716	135.985	
0.291742	0.218503	6.69426	5.91431	14.0156	-14.0313	38.2397	11.5225	28.5428	
0.373577	0.495296	43.5049	48.8037	-31.2656	50.375	13.0737	128.236	85.9767	
0.466774	0.444757	42.2427	50.4517	34.5781	57.6875	6.96683	93.3944	190.078	
0.196504	0.142412	6.3794	7.85522	25.8594	-39.8594	77.7718	11.8996	10.0843	
0.302961	0.485879	22.962	27.3071	-31.5781	27.9688	16.9896	75.5153	15.6177	
0.528995	0.322517	12.0813	21.8689	41.0156	28.0781	11.5225	9.40681	109.316	
0.442404	0.477953	57.938	64.3188	12.3125	68.5156	3.49403	145.637	203.771	
0.368958	0.244647	19.3925	28.4668	46.7969	-5	76.6387	23.73	126.718	
0.209213	0.273154	19.3464	23.5352	-4.35938	-23.25	90.882	59.8104	0.00242822	
0.313333	0.330028	89.5667	90.5823	-0.34375	0.984375	226.42	228.549	228.549	
0.312731	0.329033	57.758	60.9192	0.03125	0.015625	147.283	147.283	147.283	
0.312731	0.329033	35.1533	38.1042	0.03125	0.015625	89.6408	89.6408	89.6408	
0.31387	0.330915	19.4371	20.4529	-0.203125	0.65625	48.7564	49.6275	49.6275	
0.312731	0.329033	9.08417	7.75757	0	0	23.1646	23.1646	23.1646	
0.312731	0.329033	3.43398	2.33765	0	0	8.75665	8.75665	8.75665	
